#OG_name,Actinidia_deliciosa,Actinidia_arguta,Actinidia_zhejiangensis,Coffea_arabica,Arabidopsis_thaliana,Actinidia_chinensis,Actinidia_eriantha,Actinidia_rufa,Actinidia_hemsleyana,Vitis_vinifera,Rhododendron_simsii,Cycas_panzhihuaensis
OG_1,12,13,4,8,1,1,1,1,1,1,2,1
OG_2,9,5,7,3,1,6,4,1,2,3,1,2
OG_7,20,15,17,3,1,5,7,3,6,2,3,1
OG_11,13,12,4,1,4,3,4,3,2,2,2,1
OG_14,12,9,4,2,2,3,2,3,2,1,1,1
OG_15,5,5,2,3,6,2,1,1,2,1,3,1
OG_16,20,20,9,2,2,3,1,4,4,1,2,1
OG_17,5,4,2,8,4,1,1,1,1,1,1,1
OG_18,5,4,2,2,1,1,1,1,2,1,1,1
OG_20,28,38,19,2,3,6,8,8,5,5,3,5
OG_22,25,13,7,3,3,5,5,4,3,2,2,2
OG_24,8,5,4,2,2,1,2,2,1,4,1,1
OG_25,6,4,2,2,3,1,1,1,1,1,3,2
OG_29,29,25,7,5,14,5,4,5,6,2,4,1
OG_36,10,8,4,5,12,2,2,2,2,5,1,2
OG_39,23,18,8,8,4,6,2,3,2,2,2,1
OG_40,10,13,4,2,1,2,2,2,2,1,1,1
OG_41,12,15,4,2,2,2,2,3,2,3,1,1
OG_42,8,17,5,4,5,2,3,1,2,1,1,2
OG_43,15,8,5,5,1,2,2,1,2,1,1,1
OG_47,10,13,15,9,3,2,3,2,7,1,1,1
OG_49,5,7,2,5,1,1,1,1,1,1,1,1
OG_50,27,25,13,4,1,9,5,5,9,1,2,2
OG_51,13,13,17,1,3,3,3,1,6,1,1,1
OG_53,17,4,5,2,2,5,2,2,4,1,1,1
OG_55,21,12,8,1,2,4,4,4,4,1,1,5
OG_57,25,24,17,8,3,7,1,3,6,3,2,1
OG_60,14,11,5,5,3,4,2,5,4,1,1,1
OG_61,14,14,2,4,1,3,5,2,1,1,1,2
OG_64,11,7,5,4,3,8,5,4,3,1,1,1
OG_66,10,8,3,4,1,2,4,2,2,2,1,2
OG_70,10,16,4,2,2,3,1,1,2,1,2,2
OG_72,10,4,4,2,2,1,1,2,2,1,1,1
OG_73,16,13,8,3,3,2,2,2,2,1,2,1
OG_74,17,18,6,2,3,2,3,4,3,1,1,1
OG_75,17,18,6,3,2,3,3,4,3,4,1,1
OG_76,16,14,6,4,4,3,3,4,3,1,1,1
OG_78,30,22,18,4,4,4,4,6,4,1,1,1
OG_82,6,10,2,3,1,1,1,1,1,4,4,1
OG_83,22,9,5,3,1,3,3,3,1,1,1,2
OG_85,24,36,9,6,2,5,4,5,5,1,1,5
OG_86,6,3,2,4,2,1,1,1,1,1,1,2
OG_88,11,16,4,3,2,3,2,1,2,1,1,1
OG_90,10,17,2,1,4,2,7,2,2,1,1,1
OG_92,11,11,6,5,3,3,2,2,2,1,1,1
OG_101,17,17,8,3,3,3,4,2,4,1,2,1
OG_102,12,19,6,4,9,2,2,2,2,1,1,1
OG_112,22,27,7,6,1,4,4,3,4,1,2,1
OG_115,10,13,6,2,4,3,2,3,3,1,1,1
OG_121,6,4,2,2,1,1,1,1,1,1,3,1
OG_125,22,19,8,6,1,6,5,4,6,2,3,9
OG_128,18,13,6,4,3,3,3,4,3,3,1,7
OG_130,24,23,14,4,5,6,6,4,4,2,7,2
OG_131,9,17,4,6,4,3,3,2,2,4,3,1
OG_132,8,11,4,3,1,1,3,1,3,1,1,1
OG_133,12,10,7,1,1,2,5,3,3,2,3,1
OG_136,11,7,5,1,1,2,2,2,3,1,1,1
OG_137,11,10,11,5,4,4,3,2,3,1,1,1
OG_138,34,37,19,12,4,6,6,10,7,2,3,2
OG_140,16,17,6,2,1,5,2,3,7,1,1,2
OG_142,14,19,8,2,2,4,5,2,4,2,2,6
OG_147,12,16,5,3,10,4,2,4,3,2,1,1
OG_150,6,8,3,1,5,6,2,1,1,1,3,2
OG_152,12,8,6,2,1,2,2,2,2,1,2,1
OG_156,10,8,4,2,1,1,2,1,2,1,1,2
OG_157,12,8,4,3,3,2,3,1,2,1,1,3
OG_161,9,10,3,2,8,2,2,2,2,1,1,1
OG_162,29,20,9,5,4,7,4,5,4,3,2,4
OG_165,17,15,5,2,3,4,3,2,3,1,2,1
OG_166,15,11,7,28,3,4,5,2,3,1,2,2
OG_172,17,16,9,3,1,4,3,1,3,6,1,4
OG_173,11,10,4,1,3,2,2,2,2,1,1,1
OG_174,21,15,8,4,3,6,6,4,6,2,2,11
OG_175,14,23,11,5,2,3,3,3,4,1,1,1
OG_179,24,17,10,4,4,6,5,4,5,2,3,6
OG_182,11,4,3,2,1,3,1,2,2,1,1,1
OG_186,17,19,13,5,2,3,3,3,3,1,2,1
OG_188,24,20,16,3,4,4,4,4,4,1,2,1
OG_190,10,8,4,4,1,2,1,2,2,1,1,1
OG_192,25,19,13,3,4,6,4,2,7,2,2,2
OG_193,10,10,4,4,1,2,2,3,1,1,1,1
OG_195,11,10,9,8,10,4,4,2,3,1,1,1
OG_198,24,21,10,6,3,6,2,2,5,3,3,3
OG_199,24,18,8,5,3,5,3,4,4,2,2,1
OG_201,22,28,9,8,1,5,6,6,4,2,3,2
OG_202,14,9,6,2,1,3,3,3,3,2,1,2
OG_204,29,33,13,15,3,9,9,6,6,2,2,2
OG_208,17,18,6,6,2,2,3,4,4,1,2,1
OG_209,21,21,9,3,6,4,4,3,4,1,1,1
OG_210,8,13,6,1,2,3,2,2,5,1,1,4
OG_213,9,5,3,2,2,3,1,3,2,1,3,1
OG_215,21,12,13,3,4,3,5,4,4,1,3,4
OG_216,7,5,2,4,2,3,1,1,1,1,1,1
OG_221,5,5,3,7,8,1,1,1,1,1,1,2
OG_227,12,13,4,2,2,3,2,2,4,2,2,3
OG_228,10,8,6,4,3,4,4,1,5,1,1,1
OG_230,41,22,19,19,2,6,5,7,6,4,2,2
OG_231,12,10,4,1,2,2,2,2,1,1,1,4
OG_232,14,16,5,7,5,10,10,4,2,4,1,1
OG_234,11,12,4,1,5,2,2,1,2,1,1,1
OG_235,13,20,8,4,8,4,3,5,3,4,2,1
OG_236,4,25,11,4,1,4,4,2,5,1,1,1
OG_241,29,11,9,2,4,6,4,5,3,1,1,1
OG_242,18,26,16,2,4,4,7,6,6,1,1,1
OG_243,7,13,4,4,2,1,5,1,1,1,2,2
OG_245,12,11,6,2,7,3,2,4,3,1,5,2
OG_246,55,26,17,12,9,13,7,19,9,2,1,4
OG_248,11,16,4,6,8,2,2,4,2,1,1,1
OG_251,12,12,4,3,7,2,2,2,2,1,2,1
OG_252,22,31,8,4,3,6,5,4,4,18,1,2
OG_253,11,10,5,9,4,3,4,1,2,2,2,2
OG_259,15,13,6,4,5,3,3,3,3,2,3,2
OG_260,18,10,4,2,2,4,4,4,2,1,1,1
OG_261,5,7,3,7,11,1,2,1,1,1,1,1
OG_262,56,48,20,5,12,11,9,14,11,5,8,1
OG_263,11,7,6,2,2,3,2,2,4,1,1,1
OG_264,18,15,11,4,1,3,5,3,4,1,3,1
OG_267,24,10,10,2,2,5,3,3,5,2,2,1
OG_269,29,16,9,3,8,7,9,4,5,3,6,1
OG_275,36,40,16,14,8,8,6,9,7,5,4,2
OG_276,11,16,4,3,1,4,6,2,3,1,1,1
OG_279,18,16,6,3,4,4,3,1,3,2,2,2
OG_280,10,10,5,4,3,4,5,1,3,1,1,1
OG_282,6,5,2,1,2,1,1,1,1,1,1,2
OG_284,67,35,31,15,9,14,12,15,17,13,16,11
OG_285,25,21,7,4,1,5,6,4,2,1,1,3
OG_287,13,15,5,2,3,2,2,4,2,2,3,1
OG_290,31,25,11,4,5,5,6,4,6,2,3,2
OG_294,12,8,4,2,1,2,1,3,2,1,1,1
OG_297,8,7,3,1,1,1,1,1,1,1,1,1
OG_300,11,9,5,1,1,3,2,2,2,1,1,2
OG_302,6,19,2,3,4,1,1,2,1,2,1,1
OG_303,10,10,3,2,3,2,2,2,2,1,2,1
OG_304,12,10,10,4,2,2,3,4,3,1,2,1
OG_305,44,27,15,4,11,7,8,6,7,3,3,2
OG_310,16,14,8,8,3,4,4,3,4,2,2,2
OG_313,17,14,6,5,4,3,3,5,3,2,2,4
OG_314,36,14,23,7,5,11,15,10,10,9,1,4
OG_318,16,13,6,4,7,3,3,3,3,1,2,1
OG_323,10,10,5,2,1,4,2,2,3,2,1,1
OG_324,10,9,3,5,4,4,4,1,1,1,3,2
OG_327,21,29,9,4,5,3,3,4,3,4,2,1
OG_329,16,13,4,3,3,6,6,3,4,1,1,1
OG_330,14,11,5,1,3,3,2,3,3,1,2,5
OG_332,26,40,9,9,9,5,4,6,5,2,2,4
OG_336,8,5,1,6,1,1,1,1,1,1,1,1
OG_337,15,6,2,1,1,2,1,1,2,3,1,1
OG_339,12,14,5,1,1,2,2,5,2,1,1,1
OG_341,17,12,6,3,2,3,2,3,3,2,2,4
OG_346,11,12,3,2,3,1,3,2,3,1,1,1
OG_347,16,15,7,5,2,3,4,3,4,1,2,1
OG_348,30,25,28,2,3,5,5,6,9,2,2,1
OG_349,21,27,18,9,8,7,6,5,6,1,3,1
OG_351,12,10,4,2,5,3,5,3,2,1,1,1
OG_352,48,33,16,7,6,8,4,9,8,5,7,9
OG_355,13,12,8,4,2,3,3,3,2,2,1,1
OG_357,20,14,7,4,8,2,2,2,2,1,2,2
OG_358,41,28,30,4,5,12,2,10,7,4,8,5
OG_359,11,16,4,6,3,2,2,2,2,4,2,1
OG_362,23,24,8,2,2,4,4,7,4,2,7,7
OG_364,6,9,12,2,4,1,1,1,4,1,1,1
OG_365,8,8,2,2,5,1,1,5,1,1,2,1
OG_366,284,190,259,481,38,375,367,309,203,1655,218,2
OG_368,26,11,9,4,3,5,2,5,3,3,2,1
OG_371,10,15,4,9,2,2,2,3,3,4,1,1
OG_372,17,14,9,9,1,3,3,3,3,2,2,1
OG_374,28,23,15,19,6,9,9,7,7,2,2,1
OG_375,11,20,6,13,2,2,2,2,2,3,1,4
OG_376,15,9,6,4,8,2,4,1,2,1,1,1
OG_378,14,15,19,10,5,3,3,3,5,2,3,2
OG_382,10,8,7,8,6,6,5,2,3,2,1,1
OG_383,6,8,2,7,1,1,1,1,1,3,1,1
OG_384,13,9,4,5,6,2,2,2,3,4,5,3
OG_385,8,15,7,3,3,1,1,2,3,2,1,2
OG_392,9,16,5,6,6,4,2,1,3,3,2,2
OG_394,11,8,4,2,2,2,1,2,2,1,1,1
OG_396,26,34,7,10,2,6,5,4,7,1,2,2
OG_397,6,6,7,2,1,1,2,5,2,1,1,1
OG_398,12,14,2,4,6,2,2,1,1,2,3,2
OG_402,11,12,4,2,1,2,2,1,2,1,1,1
OG_403,7,5,4,3,2,2,1,3,3,2,3,3
OG_404,22,19,10,2,3,5,5,3,3,2,2,1
OG_406,23,30,9,8,5,8,8,4,4,1,2,1
OG_407,11,11,2,2,3,2,1,2,2,1,1,3
OG_408,22,17,8,2,6,4,4,5,5,1,2,2
OG_411,15,13,8,1,4,3,5,4,5,5,2,2
OG_413,10,18,3,2,2,2,6,4,1,1,1,1
OG_414,10,3,2,2,1,2,2,1,2,1,1,1
OG_417,13,9,2,2,3,4,1,4,3,1,2,1
OG_420,16,11,6,2,3,6,5,2,3,1,1,2
OG_422,17,33,7,4,8,3,3,2,1,1,1,3
OG_423,63,40,23,24,10,12,11,11,13,6,5,6
OG_424,18,14,7,3,1,2,1,4,3,1,2,2
OG_426,12,18,8,8,5,6,5,6,1,20,1,1
OG_427,33,20,22,7,8,10,3,8,11,3,7,7
OG_429,35,31,21,4,2,16,8,5,7,2,2,1
OG_430,18,15,7,3,4,4,3,4,3,1,2,4
OG_431,39,47,14,2,8,9,1,8,7,2,4,8
OG_432,12,10,4,4,7,2,2,1,2,1,1,3
OG_433,12,10,5,3,7,2,2,1,2,1,5,1
OG_435,11,11,7,2,2,3,2,4,4,1,1,7
OG_436,12,6,4,2,2,2,2,2,2,1,1,1
OG_437,16,11,1,3,4,4,2,3,1,2,2,1
OG_443,6,8,2,1,2,1,1,3,1,1,1,1
OG_445,11,21,4,1,2,2,1,2,2,2,1,1
OG_447,6,12,2,2,4,2,2,2,1,1,2,1
OG_451,26,20,18,9,3,17,11,4,8,5,6,1
OG_454,18,9,7,2,1,3,2,2,3,2,2,1
OG_455,11,8,7,1,5,2,2,2,4,2,1,1
OG_456,18,11,5,1,4,5,1,3,5,2,2,1
OG_457,8,11,5,2,4,4,1,1,3,1,2,1
OG_462,5,7,1,1,1,1,1,1,1,1,2,1
OG_463,20,19,8,2,5,4,3,5,4,1,2,2
OG_464,10,12,4,3,1,2,2,2,2,1,1,1
OG_465,10,6,4,12,3,2,2,1,2,2,1,1
OG_466,19,14,8,2,5,5,2,3,4,2,2,1
